Data.Fat.Total Lipid,Data.Fat.Saturated Fat,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Cholesterol,Cluster,PCA1,PCA2,Cluster_PCA,Category
3.4,3.101,0.1,0.01,2,0,-0.7014360355510793,-0.17367221257805812,1,MILK
9.97,1.937,7.551,0.027,0,0,-0.013632105945085262,-0.26741450538051453,1,CREAM SUB
9.97,9.304,0.106,0.003,0,0,-0.054330862123995724,-0.07927947058198853,1,CREAM SUB
35.48,32.525,0.968,0.014,0,0,2.46865799451761,0.32660767462187984,2,CREAM SUBSTITUTE
39.92,36.723,0.6,0.447,0,0,2.9176982345745466,0.3853643137773442,2,DESSERT TOPPING
12.41,10.684,0.843,0.201,10,0,0.20066011112928772,0.011881455868053026,1,DESSERT TOPPING
22.3,18.912,1.927,0.241,0,0,1.176951263220619,0.06750967312295822,2,DESSERT TOPPING
25.31,21.783,1.616,0.523,0,0,1.4776509453595918,0.10868274164448014,2,DESSERT TOPPING
19.52,17.791,0.588,0.056,0,0,0.8918954128093013,0.06568606038438876,2,SOUR CRM
3.41,0.767,1.998,0.488,0,0,-0.6826787166781869,-0.26633594605005245,1,MILK SUBSTITUTES
3.41,3.037,0.176,0.008,0,0,-0.7014210734873465,-0.19144889159738057,1,MILK SUBSTITUTES
3.25,1.865,0.812,0.195,10,0,-0.7178625820191887,-0.14472910829284247,1,MILK
3.66,2.278,1.057,0.136,14,0,-0.6603938802631149,-0.10406520049103897,1,MILK
1.97,1.257,0.56,0.073,8,0,-0.8335248746972477,-0.16416638422285942,1,MILK
1.92,1.195,0.555,0.071,8,0,-0.8399886729683272,-0.16517624722832674,1,MILK
1.98,1.232,0.572,0.074,8,0,-0.8339129856173026,-0.164776378060718,1,MILK
0.97,0.633,0.277,0.035,5,0,-0.9362109127109238,-0.19570450872465472,1,MILK
0.97,0.604,0.28,0.036,4,0,-0.9385245796206021,-0.20439881379859778,1,MILK
1.17,0.728,0.338,0.043,4,0,-0.9183863419073897,-0.2029355738081905,1,MILK
0.08,0.051,0.021,0.003,2,0,-1.0297584860314712,-0.22700233757166727,1,MILK
0.25,0.162,0.065,0.009,2,0,-1.0126402677909023,-0.22562061890767557,1,MILK
0.25,0.162,0.065,0.009,2,0,-1.0126402677909023,-0.22562061890767557,1,MILK
0.88,0.548,0.254,0.033,4,0,-0.9475803362961679,-0.20506801170648267,1,MILK
3.46,2.154,0.999,0.128,14,0,-0.6806171094694601,-0.1054865639155655,1,MILK
26.71,16.742,7.924,0.665,97,0,1.7163411580794656,0.7487293768196633,2,MILK
0.77,0.499,0.201,0.03,20,0,-0.9482806453726396,-0.07619467273613635,1,MILK
0.72,0.467,0.187,0.028,18,0,-0.9546837349359082,-0.09272426614888124,1,MILK
0.2,0.124,0.058,0.007,2,0,-1.0176286970677957,-0.22615636077677945,1,MILK
5.78,3.598,1.669,0.215,69,0,-0.41016001707037847,0.355547883406431,1,MILK
8.7,5.486,2.427,0.337,34,0,-0.13863923949512746,0.09545704442149999,1,MILK
7.56,4.591,2.335,0.245,29,0,-0.25667394106211583,0.04384320184934459,1,MILK
0.2,0.121,0.062,0.006,4,0,-1.0163124854802064,-0.21004462273616906,1,MILK
3.39,2.104,0.99,0.124,12,0,-0.6887452216949509,-0.12228158987023205,1,MILK
1.9,1.177,0.455,0.089,8,0,-0.8475692201832742,-0.1656398645971234,1,MILK
1.0,0.616,0.3,0.035,3,0,-0.9359681736766872,-0.21236530126511238,1,MILK
2.33,1.431,0.677,0.034,8,0,-0.8040744903683349,-0.16039542639090296,1,MILK
4.14,2.667,1.109,0.149,11,0,-0.6144665446256978,-0.12233203881953426,1,MILK
4.38,2.009,1.658,0.497,14,0,-0.5794030865748588,-0.12901755285996136,1,MILK
6.89,4.597,1.787,0.146,19,0,-0.33415597941798214,-0.02839004427389671,1,MILK
7.0,4.603,1.724,0.308,27,0,-0.3154006201518273,0.029780445399374862,1,MILK
2.7,1.681,0.78,0.1,11,0,-0.7592557940272937,-0.135259359669878,1,MILK SHAKES
3.03,1.886,0.875,0.113,12,0,-0.7252699500970728,-0.12481779313448746,1,MILK SHAKES
0.09,0.057,0.025,0.004,1,0,-1.0292885674068932,-0.2350429229914943,1,WHEY
0.54,0.342,0.149,0.021,3,0,-0.9826183953564928,-0.21549595393113705,1,WHEY
0.36,0.23,0.1,0.011,2,0,-1.0015119024705106,-0.22476109073598421,1,WHEY
1.07,0.684,0.297,0.034,6,0,-0.9272561325533929,-0.18686538676968747,1,WHEY
3.25,2.096,0.893,0.092,13,0,-0.703229029491946,-0.11223488911290376,1,YOGURT
1.55,1.0,0.426,0.044,6,0,-0.8789948045210303,-0.18265258581713026,1,YOGURT
0.18,0.116,0.049,0.005,2,0,-1.0196864001075434,-0.2261440708249489,1,YOGURT
1.25,0.806,0.343,0.036,5,0,-0.9098995145609884,-0.1932064545202306,1,YOGURT
1.15,0.742,0.316,0.033,5,0,-0.9199171662005926,-0.19400968608576707,1,YOGURT
1.08,0.697,0.297,0.031,4,0,-0.9275996078382257,-0.20265535667271853,1,YOGURT
1.41,0.909,0.387,0.04,6,0,-0.8931833234550208,-0.18380512518631853,1,YOGURT
9.94,3.099,3.81,1.364,423,0,0.18645427345289017,3.137922477553085,2,EGG
0.17,0.0,0.0,0.0,0,0,-1.0331296812410222,-0.24400715337758908,1,EGG
26.54,9.551,11.738,4.204,1234,2,2.548462023917896,9.621520097262612,2,EGG
25.6,7.82,9.747,3.628,1075,2,2.1019302623677385,8.341668412652924,2,EGG
22.75,6.97,8.614,3.244,959,0,1.7543012861940266,7.415423311382146,2,EGG
15.31,4.294,6.346,2.66,457,0,0.7701242976870951,3.3583510110145,2,EGG
10.61,3.267,4.077,1.414,424,0,0.24537088925500702,3.1445839540366887,2,EGG
12.03,3.296,4.971,2.252,356,0,0.38786739674333426,2.5534714524030107,2,EGG
9.9,3.087,3.795,1.359,422,0,0.18208172817438348,3.1299716772880215,2,EGG
12.21,3.679,4.768,2.148,352,0,0.39393392346976625,2.5338811558401453,2,EGG
40.95,12.727,15.337,5.804,1715,2,3.9787574854525616,13.458310279331824,2,EGG
43.95,13.198,17.564,5.713,2017,2,4.466785128439939,15.892414959883233,2,EGG
0.04,0.0,0.0,0.0,0,0,-1.0376820087447476,-0.24382699464376412,1,EGG
0.04,0.0,0.0,0.0,0,0,-1.0376820087447476,-0.24382699464376412,1,EGG
55.8,17.154,21.129,7.895,2335,2,5.799843031139237,18.40721612509018,2,EGG
13.77,3.681,6.525,1.223,884,0,0.8465060978755593,6.8562166435121,2,EGG
13.27,3.595,5.747,1.672,852,0,0.7843216842086665,6.582757573827192,2,EGG
11.09,3.557,4.324,1.324,844,0,0.5681855516064213,6.543677157738368,2,EGG
11.88,3.632,4.571,1.658,933,0,0.7056228380566031,7.247297398363418,2,EGG
11.11,1.93,2.435,6.241,2,0,0.18714329335037624,-0.48204671562751256,1,EGG SUBSTITUTE
3.31,0.659,0.896,1.603,1,0,-0.6773391029274395,-0.30018240349587577,1,EGG SUBSTITUTE
13.0,3.766,5.341,1.683,572,0,0.5739144765030562,4.327160133040553,2,EGG SUBSTITUTE
81.11,51.368,21.021,3.043,215,1,7.179678008561669,2.1134436670888888,0,BUTTER
27.34,17.37,8.734,0.661,72,0,1.8222704309596953,0.5532797107173218,2,CHEESE
31.25,19.694,8.951,0.99,94,0,2.174041055863014,0.7551654396579133,2,CHEESE
25.01,16.045,7.046,0.622,85,0,1.5350575877912758,0.6479047852411517,2,CHEESE
24.6,15.443,7.206,0.723,64,0,1.4863645600625042,0.4620865453769723,2,CHEESE FD
21.23,13.327,6.219,0.624,55,0,1.1402321144572098,0.36350064521814884,2,CHEESE SPRD
0.18,0.117,0.047,0.007,2,0,-1.0195928586128327,-0.2261963982988167,1,MILK
1.98,1.232,0.065,0.009,8,0,-0.8759190011337726,-0.15896727108032246,1,MILK
7.56,4.591,2.335,0.245,29,0,-0.25667394106211583,0.04384320184934459,1,MILK
0.77,0.499,0.2,0.03,20,0,-0.9483526011289766,-0.07618858372193882,1,MILK
0.72,0.47,0.19,0.03,18,0,-0.9540954746172743,-0.0927685434347393,1,MILK
35.59,24.609,8.117,0.845,105,0,2.5925358908441645,0.9437391308105536,2,CHEESE
29.84,20.639,6.808,0.709,79,0,2.0004727600662435,0.6789848481656383,2,CHEESE
21.08,14.575,4.807,0.501,46,0,1.1012054780953016,0.3287942460547821,2,CHEESE
23.0,7.028,8.849,3.15,955,0,1.7732578455348806,7.386394772805901,2,EGG
12.22,3.711,6.243,1.738,0,0,0.2361523107001106,-0.3000737162330571,1,CHEESE SUB
13.47,8.721,3.563,0.484,45,0,0.3481340146505668,0.226875493152005,2,No Category
14.92,8.034,4.735,1.397,38,0,0.5098821850017636,0.10974141812736057,2,CHEESE SAU
29.98,19.033,8.528,0.901,105,0,2.054205951815906,0.8393412184841403,2,CHEESE
28.26,17.939,8.038,0.85,105,0,1.8805700672919763,0.8257872722614327,2,CHEESE
29.68,18.843,8.443,0.892,105,0,2.024000113913983,0.8369943751033184,2,CHEESE
7.0,4.342,2.082,0.222,21,0,-0.318506773660915,-0.022277549576797808,1,CHEESE
32.62,20.768,9.189,0.972,100,0,2.3140213803414955,0.8216992719191574,2,CHEESE
10.2,3.147,3.886,1.412,432,0,0.21426677416033665,3.208697027950155,2,EGG
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,EGG
0.0,0.0,0.0,0.0,0,0,-1.0390827248997399,-0.24377156118720258,1,EGG
14.1,8.7,4.1,0.5,35,0,0.4021995780976073,0.14089858821344567,2,SOUR CREAM
10.6,6.6,3.1,0.4,35,0,0.057494964535273876,0.11560566450094586,1,SOUR CREAM
0.0,0.0,0.0,0.0,9,0,-1.033161669365447,-0.17108773929713145,1,SOUR CREAM
18.3,11.6,5.02,0.75,56,0,0.8462008009772904,0.3444207506989194,2,USDA COMMODITY
0.18,0.116,0.049,0.005,2,0,-1.0196864001075434,-0.2261440708249489,1,YOGURT
5.0,3.11,1.446,0.186,20,0,-0.5211470972718067,-0.04591476709977365,1,PARMESAN CHS TOPPING
1.0,0.644,0.25,0.057,12,0,-0.929885932518984,-0.13975937948857858,1,CHEESE
0.0,0.0,0.0,0.0,1,0,-1.038424829840374,-0.23569558097719465,1,YOGURT
21.0,13.1,0.0,0.0,75,0,0.6294926625848537,0.5849683363013475,2,No Category
9.5,6.4,0.0,0.0,35,0,-0.2515781758485428,0.14890712902128825,1,No Category
1.0,0.7,0.0,0.0,16,0,-0.946309485291656,-0.1024683735920356,1,No Category
22.0,14.4,0.0,0.0,80,0,0.7555110692114166,0.6489843192856378,2,No Category
10.6,7.1,0.0,0.0,42,0,-0.16122420138727092,0.2173879110849803,1,No Category
12.0,7.6,0.0,0.0,50,0,-0.07320096492802468,0.289679396534732,1,No Category
1.3,0.8,0.0,0.0,9,0,-0.933662377432857,-0.15749122303643395,1,No Category
0.8,0.5,0.0,0.0,9,0,-0.9714123357060133,-0.16257259367902002,1,No Category
0.8,0.5,0.0,0.0,9,0,-0.9714123357060133,-0.16257259367902002,1,No Category
0.9,0.5,0.0,0.0,9,0,-0.9679105453185324,-0.16271117732042384,1,No Category
0.2,0.1,0.0,0.0,5,0,-1.0220426667160316,-0.20174406447010232,1,No Category
1.4,0.841,0.384,0.052,5,0,-0.897975328340656,-0.1936603375860732,1,CREAM
5.0,2.869,1.25,0.299,16,0,-0.5445382421170295,-0.08639597181079917,1,No Category
1.9,1.177,0.455,0.089,8,0,-0.8475692201832742,-0.1656398645971234,1,MILK
1.41,0.909,0.387,0.04,6,0,-0.8931833234550208,-0.18380512518631853,1,YOGURT
20.0,13.317,6.098,0.462,88,0,1.0957206610347918,0.6390408690332741,2,CHEESE
13.5,2.635,4.002,6.269,0,0,0.43222109036918954,-0.49865527537269266,2,CREAM SUB
21.47,19.446,0.618,0.229,0,0,1.0887054113194916,0.08741118987403837,2,CREAM SUB
17.6,11.3,4.89,0.51,55,0,0.7710371601941318,0.3423825147861948,2,CHEESE
19.4,11.58,5.02,0.75,62,0,0.8873184651733925,0.39096725931355125,2,CHEESE
34.5,10.305,13.745,7.555,1110,2,3.2257196437801285,8.471030982247022,2,EGG MIX
8.69,2.55,0.66,2.36,0,0,-0.3146578633979755,-0.3095804692525196,1,ALLSPICE
15.9,0.586,9.78,3.15,0,0,0.5286898794293242,-0.4459889906603933,2,No Category
3.98,0.24,0.453,2.168,0,0,-0.6666611476768622,-0.33821447729636506,1,SPICES
8.36,2.28,1.64,2.29,0,0,-0.27986344068791397,-0.31735587750245403,1,SPICES
14.59,0.62,7.125,3.272,0,0,0.3044368351589482,-0.43246173389806875,1,No Category
6.7,0.68,0.87,0.43,0,0,-0.6594353045172248,-0.2632726427827293,1,SPICES
25.27,2.19,15.93,3.72,0,0,1.4560026051694341,-0.48941816001086424,2,No Category
3.9,0.169,1.399,1.8,0,0,-0.6374596754644115,-0.3298198232643875,1,CHERVIL
16.76,2.953,3.574,7.458,0,0,0.6380927453396353,-0.5442374946575621,2,No Category
1.24,0.345,0.246,0.068,0,0,-0.94890282921694,-0.24319507013604735,1,CINNAMON
20.07,5.438,1.471,7.088,0,0,0.7388952016106379,-0.4726947276505185,2,CLOVES
