Category;Description;Nutrient Data Bank Number;Data,Alpha Carotene;Data,Ash;Data,Beta Carotene;Data,Beta Cryptoxanthin;Data,Carbohydrate;Data,Cholesterol;Data,Choline;Data,Fiber;Data,Kilocalories;Data,Lutein and Zeaxanthin;Data,Lycopene;Data,Manganese;Data,Niacin;Data,Pantothenic Acid;Data,Protein;Data,Refuse Percentage;Data,Retinol;Data,Riboflavin;Data,Selenium;Data,Sugar Total;Data,Thiamin;Data,Water;Data,Fat,Monosaturated Fat;Data,Fat,Polysaturated Fat;Data,Fat,Saturated Fat;Data,Fat,Total Lipid;Data,Household Weights,1st Household Weight;Data,Household Weights,1st Household Weight Description;Data,Household Weights,2nd Household Weight;Data,Household Weights,2nd Household Weight Description;Data,Major Minerals,Calcium;Data,Major Minerals,Copper;Data,Major Minerals,Iron;Data,Major Minerals,Magnesium;Data,Major Minerals,Phosphorus;Data,Major Minerals,Potassium;Data,Major Minerals,Sodium;Data,Major Minerals,Zinc;Data,Vitamins,Vitamin A - IU;Data,Vitamins,Vitamin A - RAE;Data,Vitamins,Vitamin B12;Data,Vitamins,Vitamin B6;Data,Vitamins,Vitamin C;Data,Vitamins,Vitamin E;Data,Vitamins,Vitamin K
CEREALS RTE;CEREALS RTE,QUAKER,MOTHER'S TSTD OAT BRAN CRL,BROWN SUGAR;8352,00;0,00;0,19;0,00;0,00;74,92;0,00;0,00;8899999619,00;373,00;0,00;0,00;0,15;0,11;0,05;0,46;0,00;0,00;0,01;0,17;0,63;0,00;0,17;0,09;0,10;0,06;0,22;1,33;,75 cup,  (1 NLEA serving);0,00;;66,00;0,02;0,17;143,00;458,00;490,00;632,00;0,15;71,00;4,00;0,00;0,01;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,MOTHER'S CINN OAT CRUNCH;8353,00;0,00;0,13;0,00;0,00;3,31;0,00;0,00;8300000191,00;380,00;0,00;0,00;0,13;0,09;0,04;0,45;0,00;0,00;0,02;0,25;2506999969,00;0,00;0,09;0,07;0,07;0,05;0,21;2,50;1 cup,  (1 NLEA serving);0,00;;74,00;0,02;0,13;106,00;359,00;537,00;419,00;0,12;9,00;0,00;0,00;0,01;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,MOTHER'S GROOVY GRAHAMS;8354,00;0,00;0,17;0,00;0,00;3,61;0,00;0,00;0,13;372,00;0,00;0,00;0,03;0,08;0,03;0,24;0,00;0,00;0,05;0,00;4481999969,00;0,01;0,09;0,02;0,05;0,02;0,09;0,00;;0,00;;138,00;0,01;0,23;57,00;162,00;755,00;869,00;0,04;145,00;7,00;0,00;0,00;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,MOTHER'S COCOA BUMPERS;8355,00;0,00;0,13;0,00;0,00;87,64;0,00;0,00;3099999905,00;376,00;0,00;0,00;0,03;0,06;0,02;0,21;0,00;0,00;0,04;0,00;4184000015,00;0,01;0,09;0,02;0,04;0,02;0,09;1,38;1 cup,  (1 NLEA serving);0,00;;139,00;0,01;0,23;60,00;167,00;787,00;546,00;0,05;164,00;8,00;0,00;0,00;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,FRUITY BRONTOSAURUS BLASTS,BAGGED CRL;8357,00;0,00;0,08;0,00;0,00;3,73;0,00;0,00;1399999976,00;376,00;0,00;0,00;0,04;0,84;0,05;0,18;0,00;805,00;0,09;0,00;4395000076,00;0,05;0,09;0,10;0,02;0,02;0,11;0,00;;0,00;;5,00;0,00;0,42;20,00;63,00;49,00;590,00;0,05;2680,00;805,00;0,00;0,08;1,17;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,CRISPY CORN PUFFS CRL;8358,00;0,00;0,19;0,00;0,00;3,46;0,00;0,00;4300000191,00;376,00;0,00;0,00;0,06;0,77;0,04;0,31;0,00;551,00;0,08;0,00;2035000038,00;0,07;0,09;0,06;0,05;0,04;0,14;0,00;;0,00;;376,00;0,01;28,73;89,00;331,00;280,00;801,00;0,59;1834,00;551,00;0,00;0,10;0,92;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,FRSTD OATS;8359,00;0,00;0,13;0,00;0,00;81,96;0,00;0,00;4300000191,00;396,00;0,00;0,00;0,11;0,88;0,02;0,25;0,00;634,00;0,10;0,00;3749000168,00;0,04;0,09;0,05;0,07;0,06;0,28;0,00;;0,00;;25,00;0,01;0,79;62,00;243,00;184,00;864,00;0,68;2112,00;634,00;0,00;0,09;1,04;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,OATMEAL CRL,BROWN SUGAR BLISS;8360,00;0,00;0,15;0,00;0,00;79,69;0,00;0,00;7400000095,00;384,00;0,00;0,00;0,14;0,67;0,04;0,39;0,00;480,00;0,07;0,09;0,00;0,04;0,09;0,09;0,07;0,05;0,25;2,04;1 cup;0,00;;298,00;0,02;0,42;105,00;316,00;327,00;509,00;0,50;1600,00;480,00;0,00;0,05;0,13;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,HONEY GRAHAM BAGGED CRL;8361,00;0,00;0,13;0,00;0,00;83,64;0,00;0,00;2799999952,00;395,00;0,00;0,00;0,04;0,84;0,03;0,21;0,00;590,00;0,09;0,09;3836999893,00;0,07;0,09;0,06;0,00;0,06;0,23;0,00;;0,00;;35,00;0,01;0,76;60,00;191,00;234,00;825,00;0,63;1965,00;590,00;0,01;0,11;0,96;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,TSTD OATS/OATMMM'S;8362,00;0,00;0,18;0,00;0,00;77,91;0,00;0,00;6599999905,00;380,00;0,00;0,00;0,15;0,77;0,03;0,39;0,00;551,00;0,08;0,00;7989999771,00;0,05;0,13;0,10;0,07;0,06;0,21;0,00;;0,00;;41,00;0,01;1,25;97,00;385,00;288,00;953,00;0,59;1834,00;551,00;0,00;0,10;0,92;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,KRETSCHMER TSTD WHEAT BRAN;8363,00;0,00;0,25;0,00;0,00;2,49;0,00;74,00;4129999924,00;200,00;0,00;0,00;0,73;0,88;0,15;0,75;0,00;0,00;0,03;0,00;0,00;0,04;0,51;0,01;0,13;0,05;0,22;0,67;,25 cup,  (1 NLEA serving);0,00;;66,00;0,05;0,60;606,00;1314,00;1284,00;6,00;0,47;0,00;0,00;0,02;0,05;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,CINN CRUNCH BAGGED CRL;8364,00;0,00;0,13;0,00;0,00;83,67;0,00;0,00;0,17;397,00;0,00;0,00;0,07;0,77;0,03;0,21;0,00;551,00;0,08;0,00;0,00;0,07;0,09;0,06;0,06;0,08;0,25;0,00;;0,00;;32,00;0,01;0,67;62,00;192,00;202,00;777,00;0,59;1833,00;551,00;0,00;0,10;0,92;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,KRETSCHMER WHEAT GERM,REG;8366,00;0,00;0,22;0,00;0,00;2,07;0,00;0,00;1189999962,00;366,00;0,00;0,00;0,80;0,25;0,04;1,32;0,00;0,00;0,05;0,00;0,00;0,11;0,22;0,06;0,28;0,09;0,41;0,58;1,67 tablespoon;0,00;;50,00;0,04;0,36;313,00;1130,00;1097,00;6,00;0,67;0,00;0,00;0,01;0,00;0,25;0,00;0,00
CEREALS RTE;CEREALS RTE,GENERAL MILLS,PARA SU FAMILIA RAISIN BRAN;8371,00;0,00;0,28;0,00;0,00;3,19;0,00;0,00;1239999962,00;309,00;0,00;0,00;0,00;0,76;0,00;0,31;0,00;0,00;0,08;0,00;0,83;0,05;0,34;0,00;0,00;0,00;0,10;2,29;1,33 cup,  (1 NLEA serving);0,00;;1273,00;0,15;32,73;73,00;182,00;491,00;545,00;0,59;909,00;273,00;0,13;1818,00;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S,CRISPIX CINN CRUNCH;8374,00;0,00;0,05;0,00;0,00;3,63;0,00;0,00;0,00;399,00;0,00;0,00;0,21;0,71;0,21;0,17;0,00;501,00;0,05;0,00;3039999962,00;0,04;0,13;0,08;0,04;0,00;0,13;1,25;,75 cup;0,00;;31,00;0,01;0,80;18,00;69,00;123,00;598,00;0,21;1667,00;501,00;0,21;0,05;0,88;0,02;0,01
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S CRUNCHEROOS;8375,00;0,00;0,21;0,00;0,00;3,04;0,00;0,00;0,42;365,00;0,00;0,00;0,00;0,84;0,00;0,54;0,00;0,00;0,09;0,00;4400000095,00;0,08;0,13;0,09;0,09;0,00;0,21;1,25;1 cup,  (1 NLEA serving);0,00;;407,00;0,00;1,38;107,00;500,00;300,00;800,00;0,63;2033,00;0,00;0,25;0,09;1,00;0,00;0,00
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS;8376,00;14,00;0,04;21,00;0,00;3,75;0,00;5,00;0,05;394,00;324,00;0,00;0,43;0,67;0,06;0,17;0,00;485,00;0,04;0,38;2,21;0,04;0,09;0,00;0,01;0,04;0,09;1,25;1 cup,  (1 NLEA serving);0,00;;11,00;0,08;0,63;26,00;58,00;85,00;359,00;0,25;1667,00;487,00;0,21;0,05;2,08;0,02;0,00
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S PUFFED WHEAT;8379,00;0,00;0,09;0,00;0,00;3,21;0,00;0,00;0,63;322,00;0,00;0,00;0,00;0,00;0,00;0,63;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,05;0,38;,75 cup,  (1 NLEA serving);0,00;;40,00;0,00;0,00;0,00;421,00;475,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S,RAISIN BRAN CRUNCH;8380,00;0,00;0,05;0,00;0,00;3,51;0,00;12,00;7599999905,00;354,00;0,00;0,00;1772,00;0,42;0,40;0,25;0,00;307,00;0,01;0,13;3770000076,00;0,00;0,21;0,00;0,01;0,03;0,05;2,21;1 cup,  (1 NLEA serving);0,00;;35,00;0,00;0,34;88,00;259,00;401,00;394,00;0,13;1021,00;307,00;0,09;0,01;0,04;0,03;0,04
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES;8383,00;0,00;0,13;0,00;0,00;3,34;0,00;22,00;3200000048,00;369,00;0,00;0,00;1417,00;0,92;0,33;0,50;0,00;726,00;0,08;0,54;3220000076,00;0,09;0,13;0,00;0,00;0,02;0,04;1,29;1 cup,  (1 NLEA serving);0,00;;60,00;0,01;1,08;39,00;162,00;242,00;710,00;0,05;2419,00;726,00;0,26;0,10;2,80;0,64;0,00
CEREALS RTE;CEREALS RTE,KELLOGG,KELLOGG'S SHREDDED WHEAT MINIATURES;8384,00;0,00;0,05;0,00;0,00;3,33;0,00;0,00;0,54;339,00;0,00;0,00;0,00;0,25;0,00;0,46;0,00;0,00;0,00;0,00;0,08;0,00;0,21;0,00;0,04;0,00;0,08;1,25;30 biscuits,  (1 NLEA serving);0,00;;42,00;0,00;1,25;0,00;386,00;452,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,KASHI GOLEAN CRUNCH! BY KELLOGG;8386,00;0,00;0,17;3,00;2,00;2,80;0,00;47,00;1519999981,00;377,00;93,00;0,00;0,01;0,00;0,46;0,71;0,00;0,00;0,00;0,88;2460000038,00;0,00;0,17;0,14;0,08;0,03;0,21;2,21;1 cup,  (1 NLEA serving);0,00;;87,00;0,00;0,13;83,00;213,00;566,00;385,00;0,01;9,00;0,00;0,00;0,00;0,00;0,04;0,25
CEREALS RTE;CEREALS RTE,KASHI HEART TO HEART,HONEY TSTD OAT;8387,00;14,00;0,13;2266,00;0,00;3,17;0,00;54,00;1410000038,00;358,00;0,00;0,00;0,00;1818,00;0,45;0,54;0,00;0,00;0,13;1,17;0,58;0,34;0,09;0,04;0,09;0,01;0,21;1,38;,75 cup,  (1 NLEA serving);0,00;;25,00;0,21;0,21;26,00;99,00;310,00;238,00;0,17;3787,00;189,00;0,75;0,25;3,79;40,95;0,05
CEREALS RTE;CEREALS RTE,PUFFED KASHI BY KELLOGG;8388,00;0,00;0,08;3,00;0,00;3,33;0,00;33,00;6800000191,00;394,00;134,00;0,00;0,13;0,13;1155,00;0,50;0,00;0,00;0,01;1,46;3200000048,00;0,01;0,13;0,01;0,04;0,00;0,09;0,79;1 cup,  (1 NLEA serving);0,00;;41,00;0,32;0,09;154,00;240,00;333,00;10,00;0,13;6,00;0,00;0,00;0,02;0,00;0,06;0,13
CEREALS RTE;CEREALS RTE,KASHI 7 WHL GRAIN HONEY PUFFS;8389,00;0,00;0,04;0,00;0,00;3,42;0,00;30,00;6699999809,00;381,00;135,00;0,00;3151,00;0,09;0,67;0,42;0,00;0,00;0,08;1,17;0,96;0,00;0,13;0,39;0,60;0,25;0,13;1,25;1 cup,  (1 NLEA serving);0,00;;29,00;0,26;0,11;114,00;264,00;264,00;20,00;0,12;2,00;0,00;0,00;0,16;0,00;0,06;0,08
CEREALS RTE;CEREALS RTE,KASHI GOOD FRIENDS BY KELLOGG;8390,00;33,00;0,13;54,00;0,00;3,38;0,00;26,00;2220000076,00;316,00;479,00;0,00;3398,00;0,17;0,04;0,38;0,00;0,00;0,01;1,26;0,71;0,00;0,08;0,04;0,05;0,00;0,13;2,21;1 cup,  (1 NLEA serving);0,00;;34,00;0,27;0,13;114,00;236,00;495,00;244,00;0,13;119,00;6,00;0,00;0,02;0,00;0,06;0,09
CEREALS RTE;CEREALS RTE,KASHI GOLEAN BY KELLOGG;8393,00;21,00;0,50;47,00;0,00;2,42;0,00;64,00;1960000038,00;284,00;413,00;0,00;2299,00;2305,00;1324,00;1,08;0,00;0,00;0,01;0,46;0,50;0,29;0,08;0,00;0,04;0,00;0,05;2,17;1 cup,  (1 NLEA serving);0,00;;140,00;2091,00;0,21;165,00;475,00;926,00;165,00;0,00;97,00;5,00;0,00;0,03;0,00;0,03;0,09
CEREALS RTE;CEREALS RTE,QUAKER,MOTHER'S HONEY ROUNDUP;8394,00;0,00;0,10;0,00;0,00;87,77;0,00;0,00;3099999905,00;382,00;0,00;0,00;0,06;0,04;0,03;0,24;0,00;0,00;0,00;0,00;3568000031,00;0,01;0,09;0,04;0,06;0,03;0,08;0,00;;0,00;;23,00;0,01;0,10;64,00;197,00;237,00;587,00;0,06;138,00;0,00;0,00;0,00;0,00;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,HONEY NUT OATS;8395,00;0,00;0,14;0,00;0,00;3,54;0,00;0,00;4300000191,00;385,00;0,00;0,00;0,11;0,84;0,02;0,25;0,00;0,00;0,09;0,00;3863999939,00;0,07;0,09;0,07;0,07;0,04;0,17;0,00;;0,00;;27,00;0,01;0,76;63,00;252,00;191,00;805,00;0,63;1965,00;0,00;0,00;0,11;0,96;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,HONEY CRISP CORN FLAKES;8396,00;0,00;0,12;0,00;0,00;88,82;0,00;0,00;3099999905,00;374,00;0,00;0,00;0,00;0,71;0,02;0,26;0,00;0,00;0,07;0,00;0,00;0,06;0,09;0,01;0,02;0,00;0,05;0,00;;0,00;;1,00;0,00;0,63;17,00;47,00;89,00;869,00;0,02;2500,00;0,00;0,00;0,09;2,08;0,00;0,00
CEREALS RTE;CEREALS RTE,GENERAL MILLS,HARMONY;8398,00;0,00;0,21;0,00;0,00;3,29;0,00;10,00;0,17;365,00;0,00;0,00;1359,00;0,75;0,00;0,46;0,00;273,00;0,08;0,88;1,00;0,13;0,14;0,57;0,42;0,00;0,08;2,29;1,25 cup;0,00;;1091,00;0,10;0,67;44,00;182,00;166,00;645,00;0,55;909,00;273,00;0,30;0,10;2,29;1,04;0,00
CEREALS RTE;CEREALS RTE,QUAKER,CRANBERRY MACADAMIA NUT CRL;8400,00;0,00;0,10;0,00;0,00;76,98;0,00;0,00;0,25;408,00;0,00;0,00;0,09;0,47;0,03;0,29;0,00;387,00;0,06;0,04;2872999954,00;0,05;0,18;0,29;0,06;0,09;0,43;2,50;1 cup;0,00;;126,00;0,02;0,72;65,00;178,00;224,00;418,00;0,23;1289,00;387,00;0,00;0,05;0,71;0,00;0,00
CEREALS RTE;CEREALS RTE,QUAKER,FRUITY OCEAN ADVENTURE BAGGED CRL;8401,00;0,00;0,08;0,00;0,00;3,64;0,00;0,00;0,13;394,00;0,00;0,00;0,06;0,86;0,00;0,23;0,00;612,00;0,09;0,00;4311000061,00;0,08;0,09;0,06;0,06;0,01;0,18;0,00;;0,00;;12,00;0,01;0,77;61,00;188,00;195,00;254,00;0,64;2038,00;612,00;0,00;0,09;1,00;0,00;0,00
CEREALS;CEREALS,QUAKER,QUICK OATS,DRY;8402,00;0,00;0,10;0,00;0,00;2,85;0,00;0,00;9399999619,00;371,00;180,00;0,00;0,17;0,06;0,05;0,55;0,00;0,00;0,01;1,42;1419999957,00;0,04;0,40;0,11;0,09;0,05;0,31;1,67;,5 cup;0,00;;47,00;0,03;0,21;270,00;458,00;358,00;3,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,13
CEREALS RTE;CEREALS RTE,MALT-O-MEAL,APPL CINN TOASTY O'S;8408,00;0,00;0,09;0,00;0,00;3,42;1,00;21,00;0,21;410,00;0,00;0,00;0,00;0,83;0,07;0,29;0,00;862,00;0,11;1,55;4120000076,00;0,05;0,05;0,13;0,07;0,06;0,26;1,25;,75 cup,  (1 NLEA serving);40,00;1 cup;417,00;0,00;0,67;65,00;208,00;200,00;540,00;0,55;2870,00;862,00;0,26;0,14;1,04;0,00;0,05
CEREALS RTE;CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES;8409,00;0,00;0,05;0,00;0,00;3,76;0,00;3,00;1899999976,00;387,00;0,00;0,00;0,07;39,83;0,13;0,21;0,00;1186,00;0,14;0,17;3740000153,00;0,10;0,08;0,00;0,01;0,01;0,00;1,25;,75 cup,  (1 NLEA serving);40,00;1 cup;0,00;0,00;0,61;8,00;34,00;67,00;573,00;0,01;3950,00;1186,00;0,25;0,19;2,55;0,00;0,00
CEREALS;CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY;8410,00;0,00;0,14;0,00;0,00;76,97;0,00;0,00;6599999905,00;370,00;0,00;0,00;0,14;0,41;0,03;0,37;0,00;717,00;0,06;0,00;3370000076,00;0,05;0,29;0,09;0,07;0,06;0,21;1,92;1 packet;0,00;;239,00;0,01;0,34;89,00;300,00;251,00;535,00;0,08;2391,00;718,00;0,00;0,07;0,00;0,03;0,08
CERLS;"CERLS,QUKR,INST OTML,DNSR EGS W/ ""DNSR BNS"",BRN SGR CINN,DRY";8411,00;0,00;0,15;0,00;0,00;75,85;0,00;0,00;5599999905,00;389,00;0,00;0,00;0,11;0,34;0,00;0,34;0,00;660,00;0,05;0,83;1,63;0,05;0,25;0,08;0,06;3501,00;0,32;2,08;1 packet;0,00;;220,00;0,01;0,36;78,00;263,00;218,00;502,00;0,09;2200,00;661,00;0,00;0,06;0,00;0,03;0,05
CEREALS;CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA FLAVOR,DRY;8412,00;0,00;0,15;0,00;0,00;75,73;0,00;0,00;6800000191,00;369,00;0,00;0,00;0,15;0,43;0,03;0,38;0,00;767,00;0,06;0,84;2959000015,00;0,05;0,31;0,10;0,07;0,06;0,23;1,79;1 packet;0,00;;256,00;0,02;0,38;93,00;317,00;263,00;572,00;0,08;2558,00;768,00;0,00;0,04;0,00;0,03;0,08
CEREALS;CEREALS,QUAKER,INST OATMEAL,BKD APPL,DRY;8413,00;0,00;0,18;0,00;0,00;3,21;0,00;0,00;7300000191,00;363,00;0,00;0,00;0,12;0,46;0,03;0,36;0,00;825,00;0,06;0,71;3479999924,00;0,06;0,27;0,08;0,06;0,52;0,19;1,67;1 packet;0,00;;550,00;0,02;0,38;82,00;279,00;300,00;565,00;0,10;2750,00;826,00;0,00;0,04;0,01;0,03;0,09
CEREALS;CEREALS,QUAKER,INST OATMEAL EXPRESS,GOLDEN BROWN SUGAR,DRY;8414,00;0,00;0,13;0,00;0,00;3,21;0,00;0,00;6199999809,00;372,00;0,00;0,00;0,13;0,34;0,03;0,34;0,00;611,00;0,05;0,88;3245000076,00;0,04;0,25;0,09;0,07;0,57;0,22;2,25;1 cup;0,00;;204,00;0,01;0,31;87,00;303,00;248,00;538,00;0,11;2037,00;612,00;0,00;0,06;0,00;0,03;0,13
CEREALS;CEREALS,QUAKER,INST OATMEAL,TREASURE HUNT,DRY;8415,00;0,00;0,16;0,00;0,00;76,93;0,00;0,00;5699999809,00;369,00;0,00;0,00;0,12;0,40;0,03;0,34;0,00;707,00;0,01;0,79;3616999817,00;0,05;0,30;0,08;0,06;1151,00;0,22;1,96;1 packet;0,00;;223,00;0,01;0,34;90,00;266,00;223,00;541,00;0,10;2357,00;708,00;0,00;0,07;0,00;0,03;0,17
CEREALS;CEREALS,QUAKER,INST OATMEAL,HONEY NUT,DRY;8416,00;0,00;0,14;0,00;0,00;3,04;0,00;0,00;6400000095,00;389,00;0,00;0,00;0,14;0,43;0,03;0,40;0,00;733,00;0,06;0,84;2992000008,00;0,05;0,28;0,09;0,17;0,05;0,36;1,79;1 packet;0,00;;244,00;0,02;0,34;95,00;311,00;267,00;547,00;0,09;2444,00;734,00;0,00;0,07;0,00;0,05;0,08
CEREALS;CEREALS,QUAKER,INST OATMEAL,BANANA BREAD,DRY;8417,00;0,00;0,18;0,00;0,00;75,86;0,00;0,00;6400000095,00;368,00;0,00;0,00;0,14;0,47;0,03;0,39;0,00;805,00;0,06;0,71;3046999931,00;0,01;0,30;1708,00;0,07;0,55;0,22;1,71;1 packet;0,00;;268,00;0,01;0,44;93,00;308,00;284,00;700,00;0,09;2683,00;806,00;0,00;0,05;0,01;0,03;0,05
CEREALS;CEREALS,QUAKER,INST OATMEAL EXPRESS,BKD APPL,DRY;8418,00;0,00;0,16;0,00;0,00;3,24;0,00;0,00;7300000191,00;367,00;0,00;0,00;0,12;0,34;0,03;0,34;0,00;611,00;0,05;0,71;3456999969,00;0,04;0,27;0,08;0,07;0,55;0,21;2,25;1 cup;0,00;;204,00;0,02;0,31;82,00;288,00;303,00;590,00;0,10;2037,00;612,00;0,00;0,06;0,01;0,00;0,21
CEREALS;CEREALS,QUAKER,INST OATMEAL EXPRESS CINN ROLL,DRY;8419,00;0,00;0,15;0,00;0,00;3,19;0,00;0,00;6699999809,00;371,00;118,00;0,00;0,14;0,34;0,03;0,39;0,00;612,00;0,05;0,92;3098999977,00;0,04;0,30;0,09;0,05;0,06;0,21;2,25;1 cup;0,00;;204,00;0,01;0,31;91,00;315,00;261,00;456,00;0,09;2037,00;612,00;0,00;0,06;0,00;0,03;0,08
CEREALS;CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,VANILLA CINN,DRY;8420,00;0,00;0,22;0,00;0,00;3,00;0,00;0,00;6300000191,00;363,00;0,00;0,00;0,09;0,43;0,03;0,51;0,00;733,00;0,06;0,92;2944000053,00;0,05;0,28;0,09;0,07;0,55;0,21;1,88;1 packet;0,00;;866,00;0,02;0,65;89,00;321,00;264,00;638,00;0,09;2445,00;734,00;0,15;0,09;0,00;0,50;0,08
CEREALS;CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,GLDN BRWN SGR,DRY;8421,00;0,00;0,24;0,00;0,00;71,65;0,00;0,00;6099999905,00;363,00;0,00;0,00;0,13;0,41;0,03;0,46;0,00;717,00;0,06;0,92;2795999908,00;0,05;0,29;0,09;0,07;0,56;0,22;1,92;1 packet;0,00;;847,00;0,02;0,63;97,00;324,00;314,00;706,00;0,09;2391,00;718,00;0,14;0,09;0,00;0,46;0,08
CEREALS;CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,APPL SPICE,DRY;8422,00;0,00;0,22;0,00;0,00;3,08;0,00;0,00;6900000095,00;360,00;0,00;0,00;0,11;0,41;0,03;0,46;0,00;716,00;0,06;0,83;1,42;0,05;0,28;0,07;0,06;0,48;0,18;1,96;1 packet;0,00;;846,00;0,02;0,63;77,00;284,00;292,00;672,00;0,10;2388,00;717,00;0,14;0,09;0,01;0,48;0,09
CEREALS;CEREALS,QUAKER,INST OATMEAL,CINN SPICE,PREP W/ BOILING H2O;8423,00;0,00;0,07;0,00;0,00;0,91;0,00;0,00;1799999952,00;107,00;0,00;0,00;0,54;0,12;0,09;0,09;0,00;201,00;0,15;0,00;9420000076,00;0,12;3,05;0,32;0,27;0,16;0,06;6,88;1 packet, prepared;0,00;;69,00;0,06;0,11;25,00;84,00;70,00;151,00;0,04;669,00;201,00;0,00;0,18;0,00;0,01;0,00
CLS;CLS,QKR,INSTOAT,DIN EGSW/ DINBNS,BRNSGRCINN,PRP W/ BOIL H2O;8424,00;0,00;0,07;0,00;0,00;0,95;0,00;0,00;1700000048,00;119,00;0,00;0,00;0,50;2481,00;0,08;0,10;0,00;196,00;0,15;0,21;1156999969,00;0,12;3,00;0,31;0,25;1039,00;0,10;6,96;1 packet, prepared;0,00;;67,00;0,06;0,11;23,00;78,00;65,00;150,00;0,04;653,00;196,00;0,00;0,18;0,00;0,01;0,00
CEREALS;CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA,PREP W/ BOIL H2O;8425,00;0,00;0,07;0,00;0,00;0,84;0,00;0,00;1799999952,00;102,00;0,00;0,00;0,54;2588,00;0,09;0,11;0,00;204,00;0,02;0,21;7880000114,00;0,13;3,13;0,33;0,27;0,16;0,06;6,75;1 packet, prepared;0,00;;70,00;0,06;0,11;25,00;84,00;70,00;154,00;0,04;681,00;205,00;0,00;0,19;0,00;0,01;0,00
CEREALS;CEREALS,QUAKER,INST OATMEAL,BKD APPL,PREP W/ BOILING H2O;8426,00;0,00;0,05;0,00;0,00;0,82;0,00;0,00;1799999952,00;96,00;0,00;0,00;0,44;2637,00;0,08;0,08;0,00;208,00;0,15;0,17;8779999733,00;0,13;3,19;0,27;0,22;0,01;0,05;6,63;1 packet, prepared;0,00;;141,00;0,06;0,09;21,00;70,00;76,00;144,00;0,03;694,00;208,00;0,00;0,19;0,00;0,00;0,00
CEREALS;CEREALS,QUAKR,INST OATMEAL,TREASURE HUNT,PREP W/ BOILING H2O;8427,00;0,00;0,05;0,00;0,00;0,93;0,00;0,00;1600000024,00;108,00;0,00;0,00;0,49;2541,00;0,08;0,10;0,00;201,00;0,15;0,21;1027000046,00;0,12;3,08;0,31;0,24;0,23;0,07;6,92;1 packet, prepared;0,00;;65,00;0,06;0,10;26,00;76,00;63,00;155,00;0,04;669,00;201,00;0,00;0,19;0,00;0,01;0,04
CEREALS;CEREALS,QUAKER,INST OATMEAL,HONEY NUT,PREP W/ BOILING H2O;8428,00;0,00;0,07;0,00;0,00;0,81;0,00;0,00;1700000048,00;107,00;0,00;0,00;0,53;2471,00;0,09;0,12;0,00;195,00;0,01;0,21;796999979,00;0,12;3,13;0,04;1118,00;0,21;0,10;6,75;1 packet, prepared;0,00;;67,00;0,08;0,11;26,00;83,00;71,00;147,00;0,04;651,00;195,00;0,00;0,18;0,00;0,01;0,00
CEREALS;CEREALS,QUAKR,INST OATMEAL,EXPR BKD APPL,PREP W/ BOILING H2O;8429,00;0,00;0,05;0,00;0,00;1,02;0,00;0,00;2299999952,00;120,00;0,00;0,00;0,55;2421,00;0,10;0,12;0,00;191,00;0,14;0,21;1081999969,00;0,12;70,61;0,34;0,30;0,17;0,07;7,21;1 packet, prepared;0,00;;65,00;0,07;0,09;26,00;90,00;95,00;186,00;0,04;638,00;191,00;0,00;0,18;0,00;0,01;0,05
