Category;Description;Nutrient Data Bank Number;Data,Alpha Carotene;Data,Ash;Data,Beta Carotene;Data,Beta Cryptoxanthin;Data,Carbohydrate;Data,Cholesterol;Data,Choline;Data,Fiber;Data,Kilocalories;Data,Lutein and Zeaxanthin;Data,Lycopene;Data,Manganese;Data,Niacin;Data,Pantothenic Acid;Data,Protein;Data,Refuse Percentage;Data,Retinol;Data,Riboflavin;Data,Selenium;Data,Sugar Total;Data,Thiamin;Data,Water;Data,Fat,Monosaturated Fat;Data,Fat,Polysaturated Fat;Data,Fat,Saturated Fat;Data,Fat,Total Lipid;Data,Household Weights,1st Household Weight;Data,Household Weights,1st Household Weight Description;Data,Household Weights,2nd Household Weight;Data,Household Weights,2nd Household Weight Description;Data,Major Minerals,Calcium;Data,Major Minerals,Copper;Data,Major Minerals,Iron;Data,Major Minerals,Magnesium;Data,Major Minerals,Phosphorus;Data,Major Minerals,Potassium;Data,Major Minerals,Sodium;Data,Major Minerals,Zinc;Data,Vitamins,Vitamin A - IU;Data,Vitamins,Vitamin A - RAE;Data,Vitamins,Vitamin B12;Data,Vitamins,Vitamin B6;Data,Vitamins,Vitamin C;Data,Vitamins,Vitamin E;Data,Vitamins,Vitamin K
CHEESE;CHEESE,COTTAGE,CRMD,W/FRUIT;1013,00;0,00;0,04;14,00;0,00;0,21;13,00;18,00;0,20;97,00;0,00;0,00;0,00;0,01;0,13;0,46;0,00;37,00;0,10;0,30;2380000114,00;0,03;79,64;1036,00;0,09;2311,00;0,18;9,42;1 cup,  (not packed);113,00;4 oz;53,00;0,00;0,01;7,00;113,00;90,00;344,00;0,02;146,00;38,00;0,04;0,07;0,04;0,00;0,00
CHEESE;CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD;1014,00;0,00;0,09;0,00;0,00;0,30;7,00;18,00;0,00;72,00;0,00;0,00;0,02;0,10;0,31;0,44;0,00;2,00;0,16;0,38;1850000024,00;0,02;3,38;0,08;0,00;0,12;0,02;6,04;1 cup,  (not packed);113,00;4 oz;86,00;0,00;0,01;11,00;190,00;137,00;330,00;0,03;8,00;2,00;0,03;0,02;0,00;0,00;0,00
CHEESE;CHEESE,COTTAGE,LOWFAT,2% MILKFAT;1015,00;0,00;0,07;6,00;0,00;0,17;10,00;16,00;0,00;86,00;0,00;0,00;0,01;0,08;0,18;0,52;0,00;19,00;0,14;0,38;3670000076,00;0,04;80,69;0,31;0,00;0,68;0,11;9,42;1 cup,  (not packed);113,00;4 oz;91,00;0,00;0,01;7,00;163,00;84,00;330,00;0,03;74,00;20,00;0,03;0,02;0,00;0,00;0,00
CHEESE;CHEESE,COTTAGE,LOWFAT,1% MILKFAT;1016,00;0,00;0,07;3,00;0,00;0,13;4,00;18,00;0,00;72,00;0,00;0,00;0,00;0,09;0,15;0,53;0,00;11,00;0,11;0,38;2720000029,00;0,02;3,45;0,20;0,03;0,45;0,04;9,42;1 cup,  (not packed);113,00;4 oz;61,00;0,03;0,01;5,00;134,00;86,00;406,00;0,03;41,00;11,00;0,04;0,07;0,00;0,00;0,00
CHEESE;CHEESE,CREAM;1017,00;0,00;0,06;41,00;0,00;0,17;110,00;27,00;0,00;342,00;0,00;0,00;0,01;0,10;0,04;0,27;0,00;359,00;0,09;0,09;3210000038,00;0,00;2,28;0,38;1437,00;19292,00;1,43;9,67;1 cup;14,00;1 tbsp;98,00;0,02;0,03;9,00;106,00;138,00;321,00;0,04;1265,00;362,00;0,02;0,04;0,00;0,05;0,13
CHEESE;CHEESE,EDAM;1018,00;0,00;0,18;11,00;0,00;0,07;89,00;15,00;0,00;357,00;0,00;0,00;0,01;0,08;0,20;24,99;0,00;242,00;0,27;0,59;1429999948,00;0,04;1,75;8125,00;0,46;17572,00;1,13;1,19;1 oz;198,00;1 package,  (7 oz);731,00;0,04;0,03;30,00;536,00;188,00;965,00;0,18;825,00;243,00;0,08;0,08;0,00;0,02;0,09
CHEESE;CHEESE,FETA;1019,00;0,00;0,21;3,00;0,00;0,17;89,00;15,00;0,00;264,00;0,00;0,00;0,03;0,69;0,67;0,60;0,00;125,00;0,59;0,63;4090000153,00;0,11;2,31;4623,00;0,41;14946,00;0,89;6,25;1 cup, crumbled;28,00;1 oz;493,00;0,03;0,05;19,00;337,00;62,00;1116,00;0,14;422,00;125,00;0,09;0,29;0,00;0,01;0,05
CHEESE;CHEESE,FONTINA;1020,00;0,00;0,18;32,00;0,00;0,08;116,00;15,00;0,00;389,00;0,00;0,00;0,01;0,01;0,30;1,05;0,00;258,00;0,14;0,59;1549999952,00;0,02;37,92;8687,00;1654,00;19196,00;1,30;5,50;1 cup, diced;108,00;1 cup, shredded;550,00;0,03;0,02;14,00;346,00;64,00;800,00;0,13;913,00;261,00;0,09;0,08;0,00;0,02;0,09
CHEESE;CHEESE,GJETOST;1021,00;0,00;0,22;0,00;0,00;42,65;94,00;0,00;0,00;466,00;0,00;0,00;0,00;0,56;3351,00;0,42;0,00;334,00;1382,00;0,59;0,00;0,22;0,57;7879,00;0,65;0,80;1,24;1,19;1 oz;227,00;1 package,  (8 oz);400,00;0,01;0,04;70,00;444,00;1409,00;600,00;0,05;1113,00;334,00;0,11;0,19;0,00;0,00;0,00
CHEESE;CHEESE,GOUDA;1022,00;0,00;0,19;10,00;0,00;0,10;114,00;15,00;0,00;356,00;0,00;0,00;0,01;0,06;0,02;24,94;0,00;164,00;0,23;0,59;2220000029,00;0,00;1,74;7747,00;0,46;17614,00;1,16;1,19;1 oz;198,00;1 package,  (7 oz);700,00;0,04;0,02;29,00;546,00;121,00;819,00;0,13;563,00;165,00;0,08;0,01;0,00;0,02;0,09
CHEESE;CHEESE,GRUYERE;1023,00;0,00;0,17;33,00;0,00;0,03;110,00;15,00;0,00;413,00;0,00;0,00;0,02;0,07;0,39;29,81;0,00;268,00;0,19;0,59;0,36;0,00;1,39;10043,00;1733,00;18913,00;1,36;5,50;1 cup, diced;108,00;1 cup, shredded;1011,00;0,03;0,01;36,00;605,00;81,00;336,00;0,13;948,00;271,00;0,05;0,08;0,00;0,02;0,09
CHEESE;CHEESE,LIMBURGER;1024,00;0,00;0,18;15,00;0,00;0,03;90,00;15,00;0,00;327,00;0,00;0,00;0,04;0,11;1177,00;0,84;0,00;339,00;0,35;0,59;0,49;0,01;2,03;8606,00;0,34;16746,00;1,14;5,58;1 cup;28,00;1 oz;497,00;0,02;0,01;21,00;393,00;128,00;800,00;0,08;1155,00;340,00;0,04;0,09;0,00;0,02;0,09
CHEESE;CHEESE,MONTEREY;1025,00;0,00;0,16;78,00;0,00;0,05;89,00;15,00;0,00;373,00;0,00;0,00;0,01;0,09;0,01;1,03;0,00;192,00;0,03;0,59;0,00;0,02;1,71;8751,00;0,62;19066,00;1,27;5,50;1 cup, diced;113,00;1 cup, shredded;746,00;0,03;0,05;27,00;444,00;81,00;536,00;0,13;769,00;198,00;0,06;0,08;0,00;0,02;0,09
CHEESE;CHEESE,MOZZARELLA,WHL MILK;1026,00;0,00;0,14;57,00;0,00;0,10;79,00;15,00;0,00;300,00;0,00;0,00;0,00;0,07;0,10;0,93;0,00;174,00;0,20;0,71;1029999971,00;0,00;2,08;6573,00;0,53;13152,00;0,94;4,67;1 cup, shredded;28,00;1 oz;505,00;0,01;0,03;20,00;354,00;76,00;627,00;0,15;676,00;179,00;0,10;0,04;0,00;0,01;0,09
CHEESE;CHEESE,MOZZARELLA,WHL MILK,LO MOIST;1027,00;0,00;0,15;63,00;0,00;0,12;89,00;15,00;0,00;318,00;0,00;0,00;0,01;0,09;0,07;0,88;0,00;192,00;0,02;0,67;100999999,00;0,02;2,03;7027,00;0,54;15561,00;24,64;1,19;1 oz;18,00;1 cubic inch;575,00;0,02;0,00;21,00;412,00;75,00;415,00;0,12;745,00;197,00;0,05;0,06;0,00;0,01;0,09
CHEESE;CHEESE,MOZZARELLA,PART SKIM MILK;1028,00;0,00;0,14;41,00;0,00;0,14;64,00;15,00;0,00;254,00;0,00;0,00;0,00;0,07;0,08;1,02;0,00;124,00;0,21;0,59;1129999995,00;0,02;53,78;0,20;0,33;10114,00;0,69;1,19;1 oz;0,00;;782,00;0,03;0,02;23,00;463,00;84,00;619,00;0,14;481,00;127,00;0,06;0,00;0,00;0,01;0,05
CHEESE;CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST;1029,00;0,00;0,18;44,00;0,00;0,18;54,00;14,00;0,00;302,00;0,00;0,00;0,01;0,08;0,01;25,96;0,00;133,00;0,23;0,67;0,60;0,07;1,95;0,26;0,43;0,55;0,84;5,50;1 cup, diced;113,00;1 cup, shredded;731,00;0,03;0,02;26,00;524,00;95,00;528,00;0,13;517,00;137,00;0,10;0,08;0,00;0,03;0,04
CHEESE;CHEESE,MUENSTER;1030,00;0,00;0,17;13,00;0,00;0,05;96,00;15,00;0,00;368,00;0,00;0,00;0,01;0,07;0,01;0,99;0,00;297,00;0,02;0,59;1120000005,00;0,01;41,77;8711,00;0,46;19113,00;1,25;5,50;1 cup, diced;113,00;1 cup, shredded;717,00;0,03;0,03;27,00;468,00;134,00;628,00;0,14;1012,00;298,00;0,07;0,06;0,00;0,02;0,09
CHEESE;CHEESE,NEUFCHATEL;1031,00;0,00;0,07;27,00;0,00;0,17;74,00;0,00;0,00;253,00;0,00;0,00;0,01;0,01;0,40;0,39;0,00;239,00;0,11;0,13;3190000057,00;0,02;2,63;5784,00;0,07;0,55;0,97;1,19;1 oz;85,00;1 package,  (3 oz);117,00;0,03;0,01;10,00;138,00;152,00;334,00;0,06;841,00;241,00;0,00;0,04;0,00;0,00;0,05
